"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"Gampost","General Government","Domestic money transfers (Postal Money Transfer - PMT)","PMT","Software Systems","To send and receive money acroos the Gambia through our postal Branches","Cloud Services","Internet, Workstation, Staff Support and Computers","Gampost Postal Service Cooperation","Interzoft","Cloud Service","Active","1","1","4","3","2","11","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Analytical Data","Data","Reports, analytics, and decision-support datasets","GICTA Office","Transactional Data, Database, Applications, Reporting, Policy & Decision Support","Public","GICTA","97XR+6C11","Candidate","4","3","3","2","1","13","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Accredits training institutions","Workstation, server room, security","Facilities","Daily work activities","MDCG","Workstation, Internet, Power supply","MDCG","Operations","F88H+C4X","Active","4","1","1","2","3","11","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Cisco Router","Hardware and Computing Infrastructure","Networking device supporting LAN/WAN connectivity","GICTA Office","Power, Network, Security, Workstations, Staff operations, Conference center","Public","GICTA","97XR+6C19","Candidate","4","3","2","1","2","12","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","VPN Service","Networks and Communication","Secure remote access to government network","GICTA Office","Servers, Network, Firewalls, Remote access for staff, Admin access to applications","Public","GICTA","97XR+6C17","Candidate","4","3","3","2","2","14","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Internet Service","Networks and Communication","Connectivity for external communication","GICTA Office","ISP infrastructure, Routers, Firewalls, VPN, Email, External portals","Public","GICTA","97XR+6C16","Candidate","4","3","3","2","2","14","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Accredits training institutions","Database","Data","Providing information","MDCG","Workstation, Internet, Power supply","MDCG","IT-MDCG","F88H+C4X","Active","4","1","1","2","3","11","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Email Service","Networks and Communication","Government email infrastructure","GICTA Office","Network, Servers, Power, Staff communication, Notifications for applications","Public","GICTA","97XR+6C15","Candidate","3","2","2","2","2","11","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","DNS Service","Networks and Communication","Domain Name Service supporting applications and services","GICTA Office","Network, Servers, Applications, Internet services, Email routing","Public","GICTA","97XR+6C14","Candidate","4","3","2","2","2","13","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Configuration Data","Data","Settings, parameters, and backup data","GICTA Office","Servers, Network, Applications, Systems configuration, Backup, DR","Public","GICTA","97XR+6C12","Candidate","3","3","3","2","2","13","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Cisco Switch","Hardware and Computing Infrastructure","Network switch for internal connectivity","GICTA Office","Power, Network Cabling, Configuration, Switches, Firewalls, Internet Access, LAN/WAN","Public","GICTA","97XR+6C20","Candidate","4","2","2","2","2","12","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Transactional Data","Data","Operational data supporting government services","GICTA Office","Database, Servers, Applications, Analytics, Reporting, Decision-making","Public","GICTA","97XR+6C10","Candidate","3","4","4","1","2","14","Tier-2"
"Gampost","General Government","Financial Services (Gampost Savings Bank) ","Savings Bank Office","Facilities","This is a office in the institution saving bank staffs operate.","Gampost Headquarters","Staffs, Workstation","Gambia Postal Service Cooperations","Gampost","Gampost Headquarters Banjul","Active","2","1","3","4","3","13","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","Magnetic Data","Data","Data gathered during a geophysical survey","GNPC","Power, Workstations/ Rock Doc Software / Windows","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","3","1","1","4","10","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","Seismic Data","Data","Subsurface information gathered from seismic surveys","GNPC","Power, Workstations/ Rock Doc Software / Windows","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","3","1","1","4","10","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications"," Capacity, and wavelength services for telecom operator","Data centers,server rooms","Facilities","","GSC Office","Rauter data traffic,switches","GSC","GSC","C77J+8HC","Active","3","1","4","1","1","10","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications"," Capacity, and wavelength services for telecom operator","WAN","Networks and Communication","","GSC Office","Routers and switches","GSC","GSC","C77J+8HC","Active","2","1","4","1","2","10","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","GNPC E&P Data Room ","Facilities","The room houses the  geology and geophysics Interpretation Software","GNPC","Power,Internet,person/Office Equipment","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","4","1","1","4","11","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","Gravity Data","Data","Data gathered geophysical surveys to detect and analyze variations in the Earth's gravitational field.","GNPC","Power, Workstations/ Rock Doc Software / Windows","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","3","1","1","4","10","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","ROCK DOC (GEOLOGY AND GEOPHYSICS Interpretation Software)","Software Systems","for reproducing critical cross-plotting, log prediction, and seismic interpretation workflows.","CLOUD","Power,Workstations,Internet/ Geological Simulations","Hybrid","GNPC","C75C+4F3, Bijilo","Candidate","1","3","2","4","2","12","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Exploration","Well Data","Data","Information gathered about a specific well throughout its lifecycle","GNPC","Power, Workstations/ Rock Doc Software / Windows","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","3","1","1","4","10","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","`Early warning services","Virtual Machines","Software Systems","for hosting of application ","Kololi new road","Rack, power cables","National Early Warning Center","National Early Warning Center","C7RM+CV17","Active","4","3","2","1","3","13","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","`Early warning services","Server room","Facilities","for housing the enterprise architecture","Kololi new road","Rack, power cooling systems","National Early Warning Center","National Early Warning Center","C7RM+CV13","Active","3","3","3","1","3","13","Tier-2"
"National Environment Agency (NEA)","Food, Agriculture and Environment","Environmental monitoring","IQAIR","Software Systems","Air quality monitoring  and purification platform ","NEA HQ","Internet, Laptop","NEA","NEA","13.45463° N, 16.67123° W","Active","1","1","1","4","4","11","Tier-2"
"National Environment Agency (NEA)","Food, Agriculture and Environment","Environmental monitoring","Internet ","Networks and Communication","Global communication network ","NEA HQ","Switch, router, power, power backup, access points, ISP","NEA","NEA","13.45463° N, 16.67123° W","Active","1","1","4","1","4","11","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","`Early warning services","UPS","Facilities","for backup when light goes off","Kololi new road","Cooling system","National Early Warning Center","National Early Warning Center","C7RM+CV14","Active","3","3","3","1","4","14","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","`Early warning services","WAN","Hardware and Computing Infrastructure","for internet connectivity","Kololi new road","Rack, power cooling systems","National Early Warning Center","National Early Warning Center","C7RM+CV12","Active","4","3","3","1","3","14","Tier-2"
"Gampost","General Government","Financial Services (Gampost Savings Bank) ","Gampost Savings Bank Software","Software Systems","A Banking software use to manage and keep track of savings accounts for customers","Gampost Headquarters Banjul","Computers, Workstation, internet and staff support","Gampost Postal Services Cooperation","NIFTY ITC SOLUTIONS","Gampost Headquaters","Active","1","2","3","4","2","12","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","VMWare","Software Systems","Virtualization platform supporting servers and applications","GICTA Office","Linux Servers, Storage, Power, Virtual Machines for G-Cloud and other applications","Public","GICTA","97XR+6C9","Candidate","4","3","2","2","2","13","Tier-2"
"AFRICEL","Information and Communications","Business connectivity solutions","Client Applications","Software Systems","Client End Applications","Africell HQ","Client App","Africell","Africell Team","F839+H6X","Active","1","2","3","3","3","12","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","Cisco Switch ","Hardware and Computing Infrastructure","connecting servers to storage arrays and different Departments","HQ,DR","network connectivity, Electricity, etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR, All Branches","Active","4","3","2","3","2","14","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Linux servers","Software Systems","Application Hosting","HO-Banjul","power, storage","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","3","2","4","2","2","13","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","DR Site","Hardware and Computing Infrastructure","for disaster recovery","Latrikunda Branch","power, stoage, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","4","4","2","1","3","14","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","WAN","Networks and Communication","for internet","HO-Banjul","Power, internet","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","2","3","1","3","1","10","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Fiber Cable","Networks and Communication","for internet","Soma Branch","power, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","2","2","2","3","1","10","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Wimax","Networks and Communication","for network connectivity in the greater Banjul Area","HO-Banjul","Power, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","1","2","4","2","2","11","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Switches","Hardware and Computing Infrastructure","for LAN connectivity","HO-Banjul","Power, cables, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","1","1","3","4","1","10","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","EDR","Software Systems","for the monitoring of workstations and servers","HO-Banjul","Power, internet","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","3","2","3","1","1","10","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Generator room","Facilities","for hosting generators","HO-Banjul","Generators, room","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","4","3","3","3","1","14","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Splunk","Software Systems","For incident/threat log collection","HO-Banjul","Power, network,servers","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","4","2","2","3","3","14","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Community policing","Community Liaison Officers","Human","Officers linking police services with community members","Police Stations & Community Halls","Upstream: Training; Downstream: Public Engagement","Public","Police HR Dept.","Local Stations","Active","3","2","2","2","3","12","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Community policing","Investigators / Crime Analysts","Human","Personnel analyzing incidents and community crime patterns","Police HQ","Upstream: Training; Downstream: Police Operations","Public","Police Investigations Dept.","HQ & Divisions","Active","3","3","2","2","3","13","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Community policing","Police Officers","Human","Patrol and community policing officers engaging with citizens","All Police Divisions","Upstream: Training; Downstream: Community Engagement","Public","Police HR Dept.","Nationwide Deployment","Active","4","3","2","1","4","14","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Community policing","Power Backup Systems","Hardware and Computing Infrastructure","Generators and UPS ensuring continuity during power outages","Police HQ & Stations","Upstream: Fuel Supply; Downstream: All ICT & Facility Assets","Public","Police","Major Installations","Active","4","3","1","2","4","14","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Community policing","Internet Connection","Networks and Communication","Provides online connectivity for communication and coordination","Police HQ & Stations","Upstream: ISP & Power; Downstream: Desktops & Laptops","Hybrid (Gov + ISP)","ICT Unit & ISP","Nationwide Coverage","Active","4","3","3","1","3","14","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Accredits training institutions","Lan network, Wireless","Networks and Communication","Networking","MDCG","Workstation, Internet, Power supply","MDCG","IT-MDCG","F88H+C4X","Active","4","1","1","2","3","11","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","Servers","Hardware and Computing Infrastructure","A specific Dell PowerEdge 750 server acting as a physical host for critical virtual machines for the digital platform.","HQ,DR","Network Infrastructure, Electricity etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","4","3","2","2","2","13","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications","Co-location","WAN","Networks and Communication","","GSC Office","Routers and Switches","GSC","GSC","C77J+8HC","Active","4","2","3","1","1","11","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications","Co-location","Data Center (Back Haul Room), ","Facilities","","GSC Office","Router data traffic,switches","GSC","GSC","C77J+8HC","Active","4","3","3","1","1","12","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications","Co-location","Routers and Swiches","Hardware and Computing Infrastructure","","GSC Office","LANs and WANs","GSC's Clients, GSC","GSC","C77J+8HC","Active","2","1","4","1","2","10","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Oracle Mysql database","Data","For Database","HO-Banjul","Server, power, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","3","2","4","3","1","13","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Exchange","Software Systems"," Email system","HO-Banjul","Server, power. internet","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","2","3","1","2","2","10","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Gamtel Fiber","Networks and Communication","Primary connectivity infrastructure (LAN/WAN/Internet)","GICTA Office","Power, Network Equipment, All LAN/WAN connectivity, VPN, Internet, Email, DNS","Public","GICTA","97XR+6C13","Candidate","4","3","3","2","2","14","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","Backups","Data","for disaster recovery","HO-Banjul","Server, power, network","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","3","2","3","1","2","11","Tier-2"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Digital Learning Platforms","Android OS","Software Systems","OS for e-learning","All Public Upper Basic and Senior Secondary School","Android OS","Public","MOBSE","13.45408,-16.57290","Active","4","3","1","3","2","13","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","API Integrations","Software Systems","Set of application programming interfaces (APIs) that connect the new digital platform to core banking (Finacle), mobile money providers, and other third-party services","HQ","Finacle, Database Server, Internet etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","4","3","2","3","2","14","Tier-2"
"Trust Bank","Banking and Finance","Commercial banking services","FCUBS","Software Systems","Main Banking Application for payment","H0-Banjul","power,network, servers","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","2","3","4","1","3","13","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","Database Servers","Software Systems","Dedicated server(s) hosting the database for the banking platform","HQ,DR","750 Dell Server, SAN Switch, Internet, LAN connectivity, electricity etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","4","3","2","2","2","13","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","Finacle Application ","Software Systems","The core banking system provided by Infosys. The digital platform depends on it for all core account operations and transaction processing","All Branches","Oracle DB, Network, Electricity","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","4","3","2","2","2","13","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","Login/authentication data","Data","Immutable records of all user login attempts, including successes, failures, timestamps, IP addresses, and devices used. Critical for security monitoring, fraud detection, and forensic analysis","HQ,DR","Authentication System, Database Server","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","4","3","2","2","2","13","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","online transaction logs","Data","Immutable audit logs of every transaction, API call, and user activity on the digital platform. Crucial for auditing, dispute resolution, and fraud detection","HQ,DR","Database Server, Application Server, Network, Electricity etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","3","3","2","2","2","12","Tier-2"
"GTBank","Banking and Finance","Digital banking platforms","FIREWALLS","Hardware and Computing Infrastructure","Security devices that control and monitor incoming and outgoing network traffic between the digital platform, the internet, and internal networks based on security rules","HQ,DR","Network Infrastructure, Admin Access, Electricity etc","Private (GTBank Gambia)","GTBank Gambia","HQ,DR","Active","3","3","2","3","2","13","Tier-2"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Digital Learning Platforms","VIdeo Lectures","Hardware and Computing Infrastructure","Video lectures for students in Public Upper Basic and Senior Secondary Schools","All Public Upper Basic and Senior Secondary School","SD Cards","Public","MOBSE","13.45408,-16.57290","Active","4","3","1","3","2","13","Tier-2"
"AFRICEL","Information and Communications","Voice Services","Interconnect Links","Networks and Communication","Internal & External Voice Links","Africell HQ","Call, SMS","Africell","Africell Team","F839+H6X","Active","3","2","3","3","2","13","Tier-2"
"GTBank","Banking and Finance","Foreign exchange services","Finacle Treasury systems","Software Systems","","HQ","","Private","GTBank ","HQ","Active","2","2","2","3","3","12","Tier-2"
"Gampost","General Government","Mail delivery","Postal Asistants","Human","These are individuals reponsible for sorting and organising incoming and outgoing mails of the Institution.","Gampost Headquarters Banjul","Electrictity, Computers, Workstation","Gambia Postal Cooperation Services","Gampost","Gampost Headquarters","Active","1","3","2","3","1","10","Tier-2"
"Gampost","General Government","Mail delivery","My- SQL","Data","MySQL is an open-source relational database management system. It is widely used to store, manage, and retrieve structured data in a highly organized manner","Gampost Headquarters Banjul","Windows Server and Virtual Machines","Gambia Postal Service Cooperation
","MySQL AB","Gampost Headquaters","Active","1","2","3","3","3","12","Tier-2"
"Gampost","General Government","Mail delivery","Custom Declaration System (CDS)","Software Systems","To facilitate easy colaboration between customs and the postal services in terms of custom duties","Gampost Headquarters Banjul","internet, Work Stations and Computers","Gambia Postal Service Cooperations
","Gambia Revenue Authorities","Gampost Headquaters","Active","1","2","4","4","3","14","Tier-2"
"Gampost","General Government","Mail delivery","IPS - Internation Postal System","Software Systems","Mailing tracking software","Cloud Service - US","Internet, Work Stations and Computers","UPU","Universal Postal Union","Cloud Service","Active","1","2","4","4","3","14","Tier-2"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","Cisco Identity Services Engine (ISE)","Software Systems","Platform for managing Cisco Unified Systems","1-2 Ecowas Avenue","Internet/VPN","Public","CBG, Unique Solutions","fC3G+9Q Banjul","Active","2","2","3","3","4","14","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","collaterals","Data","Digital records of assets pledged as security for loans, including property deeds,valuation reports","HQ","Loan Management System, Core Banking System, Document Management","Private","GTBank","GTBank HQ","Active","2","2","3","3","3","13","Tier-2"
"Gampost","General Government","Mail delivery","Administrators (2)","Human","These are individuals reponsible for maintainting the Domain Server and System in the Institution.","Gampost Headquarters Banjul","Electricity, Computers, IT Office","Gambia Postal Cooperation Services","Gampost","Gampost Headquarters","Active","1","3","2","3","1","10","Tier-2"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services"," Internet Connectivity","Networks and Communication","Technology design for broswing ","1-2 Ecowas Avenue","Router, Switch","Private","USL","C8WF+R7F","Active","2","4","4","","3","13","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","Internet","Networks and Communication","Primary and backup internet service provider (ISP) links for all online banking, branch connectivity, and external communication.","All Branches","External ISP Infrastructure, Power, Routers, Modems","Private","GTBank","GTBank Branches","Active","2","3","3","3","3","14","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Manages disciplinary actions; advises the Ministry of Health.","Internet lan, wireless","Networks and Communication","Networking","MDCG","Workstation, Internet, Power supply","MDCG","IT-MDCG","F88H+C4X","Active","4","1","1","2","3","11","Tier-2"
"GTBank","Banking and Finance","International banking services","Finacle Int’l Banking modules","Software Systems","The specific module within the core banking system that processes and manages all cross-border transactions, foreign exchange, and correspondent banking operations.","HQ","Core Banking System (Finacle), Database Servers, HSM","Private","GTBank ","HQ","Active","2","2","3","3","3","13","Tier-2"
"GTBank","Banking and Finance","International banking services"," SWIFT archives","Data","The secure, immutable historical log of all SWIFT messages  sent and received, crucial for audit trails","HQ","SWIFT Alliance Gateway, Secure Storage, Database Servers, Archiving Software","Private","GTBank","HQ","Active","2","2","2","3","3","12","Tier-2"
"Gampost","General Government","Other related postal services.","Percel Post Assistant","Human","These are individuals reponsible for sorting and organicing percels and mails in the Institution.","Gampost Headquarters Banjul","Electricity, Internet, Workstation and Computer","Gambia Postal Service Cooperation","Gampost","Gampost Headquarters","Active","1","3","2","3","3","12","Tier-2"
"GTBank","Banking and Finance","International banking services","International transfer records","Data","The complete and immutable records of all cross-border payment instructions, including sender, beneficiary, amount, currencies, and fees","HQ","Finacle International Module, SWIFT Network, Database Servers, Payment Settlement Systems","Private","GTBank ","HQ","Active","2","2","2","3","3","12","Tier-2"
"APS","Banking and Finance","Payment processing and services","Webpage/database of the MTO","Software Systems","Provide the platform/data for users to initiate transactions","International MTO","Users","Specific MTO","Specific MTO","International MTO","Active","2","2","3","2","1","10","Tier-2"
"Gampost","General Government","Mail delivery","Sorting Room","Facilities","A office in the institution where mails are sorted according to each destination","Gampost Headquarters Banjul","Internet, Electricty, Workstation and Computers","Gambia Postal Service Coopration","Gampost","Gampost Headquarters","Active","1","2","4","3","3","13","Tier-2"
"Gampost","General Government","Mail delivery","Internet","Networks and Communication","it is a worldwide network of networks that links computers and devices so people can communicate and access information.","Gampost Headquarters Banjul","Access Point, Routers","Gampost Postal Service Cooperation","Gamtel","Gampost Headquaters","Active","1","2","4","4","3","14","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Body Cameras & CCTV Systems","Hardware and Computing Infrastructure","Surveillance and accountability tools for public interactions and monitoring.","Major cities & checkpoints","Power, Network connectivity; Downstream: investigations, courts","Public","GPS Security Division","Urban regions (Kanifing, Serrekunda)","Active","3","2","2","3","3","13","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Incident Reporting System","Software Systems","Digital system for recording, tracking, and archiving incident reports.","Police HQ Datacenter","Servers, Database, Network; Downstream: judicial and correctional services","Public","GPS ICT Unit","Police HQ, Banjul","Active","4","3","2","2","3","14","Tier-2"
"Wave Mobile Money Gambia. (WAVE)","Banking and Finance","Low-cost peer-to-peer transfers","Google Cloud Platform","Hardware and Computing Infrastructure","GCP's infrastructure provides a global network of data centers for a wide range of cloud services, from virtual machines and storage to machine learning and data analytics. ","Belgium","internet","Private","Wave managed 
space","europe-west1","Active","4","4","1","1","1","11","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Patrol Vehicles","Hardware and Computing Infrastructure","Fleet of vehicles used for patrol, transport of officers, and rapid response.","Nationwide","Fuel supply, Maintenance workshops; Downstream: patrol operations","Public","GPS Transport Division","Distributed (regional depots)","Active","3","2","3","3","2","13","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Police Radio Network","Hardware and Computing Infrastructure","VHF/UHF radio network used for patrol coordination and incident response.","Banjul HQ, Regional Police Stations","Power supply, Telecom infrastructure; Downstream: patrol units, emergency response","Public","GPS ICT Unit","GPS HQ Banjul (13.4531, -16.5775)","Active","4","3","2","2","3","14","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","Infosys","Software Systems","The core banking system that processes all customer transactions, manages accounts, and maintains the central ledger for the entire bank","All Branches","Database Servers, Network, Power, HSM, Operating System","Private","GTBank","GTBank Branches","Active","2","3","3","2","3","13","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","credit profiles","Data","Internally generated and externally sourced credit scores, history, and risk assessments for customers and applicants","All Branches","Core Banking System","Private","GTBank","GTBank Branches","Active","2","2","3","2","3","12","Tier-2"
"Gampost","General Government","Mail delivery","LAN and WAN","Networks and Communication","A network that connects devices accross the institution","Gampost Headquarters Banjul","","Gambia Postal Cooperation Services","Gampost","Gampost Headquarters","Active","1","2","4","3","3","13","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","repayment records","Data","The complete history of all loan repayments, including dates, amounts, and any arrears or defaults.","HQ","Core Banking System (Finacle), Loan Management , Payment Processing Systems","Private","GTBank","GTBank HQ","Active","2","3","3","3","3","14","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","Loan applications","Data","Digital applications and supporting documents submitted by customers seeking personal, business, or mortgage loans.","All Branches","Loan Origination System, Core Banking System, Document Management System","Private","GTBank","GTBank Branches","Active","2","2","2","2","2","10","Tier-2"
"Gampost","General Government","Mail delivery","UPS","Hardware and Computing Infrastructure","is an electrical device that provides backup power to connected equipment when the main power source fails and also protects against voltage surges, spikes, and other power issues","Gampost Headquarters Banjul","Electricity and IT Personels","Gambia Postal Cooperation Services","Gampost","Gampost Headquarters","Active","1","2","2","3","2","10","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","Ibank","Software Systems","The customer-facing online and mobile banking platform that allows users to view accounts, transfer funds, and pay bills","All Branches","Internet, Core Banking System (Finacle), Firewalls, Authentication Service","Private","GTBank","GTBank Branches","Active","2","2","2","2","2","10","Tier-2"
"GTBank","Banking and Finance","Loan and credit services","Branch CIS","Software Systems","The Branch Customer Interaction System used by tellers and relationship managers for daily banking operations and customer service.","All Branches","Finacle Application","Private","GTBank","GTBank Branches","Active","2","2","1","2","3","10","Tier-2"
"Gampost","General Government","Mail delivery","Router and Switches","Hardware and Computing Infrastructure","An Electronic Devices that determine the best path for data and provide Internet access efficiently direct traffic among local devices. 
","Gampost Headquarters Banjul","Electricity, Internet and IT Personnels","Gambia Postal Cooperation Services","Gampost","","Active","1","2","4","4","3","14","Tier-2"
"Gampost","General Government","Mail delivery","Server machine","Hardware and Computing Infrastructure","It is a powerful computer designed to provide services, store and manage data, or run applications for other computers (clients) over a network.","Gampost Headquarters Banjul","Windows Server Operating System, Internet, Electricity and IT Personel","Gambia Postal Service Coopration","Gampost","Gampost Headquaters","Active","1","2","4","4","3","14","Tier-2"
"Gampost","General Government","Mail delivery","Server Room - IT Office","Facilities","Server Room/IT Office a office that house the Server Rack and Machine","Gampost Headquarters Banjul","Server Machine, Air Condition, Internet and IT Staffs","Gambia Postal Service Coopration","Gampost","Gampost Headquarters","Active","1","2","4","4","1","12","Tier-2"
"Gampost","General Government","Mail delivery","Domain gampost.gm","Software Systems","Domain use a hierarchical system that manage and a group of connected computers and devices that operate under a single administrator and adhere to common rules and security policies","Gampost Headquarters Banjul","Server Machine, Internet, Lan and Computers","Gambia Postal Service Cooperations
","Gampost","Gampost Headquaters","Active","1","2","3","4","3","13","Tier-2"
"GTBank","Banking and Finance","Payment processing and services","Finacle Payment Modules","Software Systems","The core components within the Finacle system that process and clear all types of electronic payments (e.g, RTGS, ACH).","HQ","Finacle Core, Database Server, HSM, Network","Private","GTBank Gambia","HQ","Active","3","4","2","2","3","14","Tier-2"
"GTBank","Banking and Finance","Payment processing and services","Transaction data","Data","The immutable record of all financial transactions processed by the bank. The single source of truth for all postings","HQ","Database Servers, Core Banking Application","Private","GTBank Gambia","HQ","Active","3","3","2","2","3","13","Tier-2"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Mobile communication systems","Networks and Communication","Cellular/mobile connectivity for ICT operations","Nationwide","Gamtel Fiber, Mobile Network","Private","Gamtel","F8JC+3H4","Candidate","3","3","2","2","3","13","Tier-2"
